_id,body,markdown_body,partner_jid,was_me,read_state,uid,length,timestamp,bin_id,sys_msg,stat_msg,stat_user_jid,stat_special_visibility,req_read_reciept,content_id,app_id,message_retry_count,encryption_failure,render_instructions,friend_attr_id,server_sig,mentioned_contact_id,core_message_proto_bytes,is_latest_from_correspondent_in_bin,is_big_emoji,friend_made_jid,kin_tipped
15,,,3lt3kk22mn3xtaj7tugpzw5i5dlwosqzcpa2p5jctxtiinr3yvfa_a@talk.kik.com,0,400,94cd7840-c916-4fc9-ba80-40897b72b921,0,1647413350534,1100256136749_g@groups.kik.com,,,,,0,94cd7840-c916-4fc9-ba80-40897b72b921,com.kik.cards,0,0,,,,,,0,0,,0
16,Cute,,gwk4aevjpo2em2xpvophus7xhye2dg2wjeiqh7q4kng5kdy7ab4q_a@talk.kik.com,0,400,14e38021-a6f0-4eca-b10c-3d518a2c9dba,4,1647413429666,1100256136749_g@groups.kik.com,,,,,1,,,0,0,,,,,,0,0,,0
17,What's cute,,4hltgahnocyysfni55ny34xwmc3beldmp4xprbcdxr5m4trnuoxq_a@talk.kik.com,0,400,78d8f53c-ead4-4e6e-a7b3-5e2bea05b0d1,11,1647413531173,1100256136749_g@groups.kik.com,,,,,1,,,0,0,,,,,,0,0,,0
18,Dj's underwear?,,4hltgahnocyysfni55ny34xwmc3beldmp4xprbcdxr5m4trnuoxq_a@talk.kik.com,0,400,2399fccb-4418-4a33-a08c-de3534abaa34,15,1647413536614,1100256136749_g@groups.kik.com,,,,,1,,,0,0,,,,,,0,0,,0
19,Ping,,vtso2wy22do6kimuswyzplnbdtkovkbtpirqfs47rddh2acunrja_a@talk.kik.com,0,400,6a810d20-c38f-42dd-9742-85b49112902f,4,1647413605023,1100256136749_g@groups.kik.com,,,,,1,,,0,0,,,,,,0,0,,0
20,Hmm,,vtso2wy22do6kimuswyzplnbdtkovkbtpirqfs47rddh2acunrja_a@talk.kik.com,0,400,635a0888-8168-475e-979e-72f88fadff00,3,1647413607682,1100256136749_g@groups.kik.com,,,,,1,,,0,0,,,,,,0,0,,0
21,Fr,,4hltgahnocyysfni55ny34xwmc3beldmp4xprbcdxr5m4trnuoxq_a@talk.kik.com,0,400,7f6f9232-73b2-4d27-83c4-df03af633ec2,2,1647413609625,1100256136749_g@groups.kik.com,,,,,1,,,0,0,,,,,,0,0,,0
22,Hella cute,,4hltgahnocyysfni55ny34xwmc3beldmp4xprbcdxr5m4trnuoxq_a@talk.kik.com,0,400,aff1a2f4-160f-44d8-882d-266d67c8f5b4,10,1647413615403,1100256136749_g@groups.kik.com,,,,,1,,,0,0,,,,,,0,0,,0
23,,,3lt3kk22mn3xtaj7tugpzw5i5dlwosqzcpa2p5jctxtiinr3yvfa_a@talk.kik.com,0,400,d4a0c912-2641-4b36-8596-046307ef76cb,0,1647413696037,1100256136749_g@groups.kik.com,,,,,0,d4a0c912-2641-4b36-8596-046307ef76cb,com.kik.ext.gif,0,0,,,,,,0,0,,0
24,Damn,,vtso2wy22do6kimuswyzplnbdtkovkbtpirqfs47rddh2acunrja_a@talk.kik.com,0,400,53547555-4429-46d0-a649-21ead7567d06,4,1647413714079,1100256136749_g@groups.kik.com,,,,,1,,,0,0,,,,,,0,0,,0
25,"Only the kik emojis

Meant the stickers navi sends",,wbte2eavi5fb5i4nyjtfwlvphcgg5ckiw7dzfkgzhjwecec3govq_a@talk.kik.com,0,400,1de30f1b-6aad-41e2-b020-386a505d40e8,50,1647413744321,1100256136749_g@groups.kik.com,,,,,1,,,0,0,,,,,,0,0,,0
