_id,bin_id,sort_order,show_when_empty,retained,is_anonymously_matched,chat_end_time,anon_has_been_reported,anon_chat_has_been_rated,anon_chat_session_uuid,anon_friending_initiated
45,blackqueen_2wq@talk.kik.com,45,1,0,0,0,0,0,0,0
46,dario530_edj@talk.kik.com,46,1,0,0,0,0,0,0,0
47,jj_ne11y_064@talk.kik.com,47,1,0,0,0,0,0,0,0
48,julianownsyou30_8y8@talk.kik.com,48,1,0,0,0,0,0,0,0
49,unclefunkle01_ap0@talk.kik.com,49,1,0,0,0,0,0,0,0
50,racistassholebastard_rlx@talk.kik.com,50,1,0,0,0,0,0,0,0
51,zylako2_nl2@talk.kik.com,51,1,0,0,0,0,0,0,0
52,1100253126841_g@groups.kik.com,52,1,0,0,0,0,0,0,0
53,1100255590554_g@groups.kik.com,53,1,0,0,0,0,0,0,0
54,iamthebest0123_quq@talk.kik.com,54,1,0,0,0,0,0,0,0
55,xxsweettoothxx_5g8@talk.kik.com,55,1,0,0,0,0,0,0,0
56,iamafriendlyhacker_fpg@talk.kik.com,56,1,0,0,0,0,0,0,0
57,casino_8r17_wjc@talk.kik.com,57,1,0,0,0,0,0,0,0
58,ht7p_5aj@talk.kik.com,58,1,0,0,0,0,0,0,0
59,mangled_t8r@talk.kik.com,59,1,0,0,0,0,0,0,0
60,julianownsyou20_5vt@talk.kik.com,60,1,0,0,0,0,0,0,0
61,julianownsyou_1fy@talk.kik.com,61,1,0,0,0,0,0,0,0
62,1100253617239_g@groups.kik.com,62,1,0,0,0,0,0,0,0
63,coke4bjs_e8l@talk.kik.com,63,1,0,0,0,0,0,0,0
64,starlings_dz8@talk.kik.com,64,1,0,0,0,0,0,0,0
65,..queenofqueef.._avw@talk.kik.com,65,1,0,0,0,0,0,0,0
66,k0op_mdj@talk.kik.com,66,1,0,0,0,0,0,0,0
67,chris.k_hhf@talk.kik.com,67,1,0,0,0,0,0,0,0
68,kyli3notj3nn3r_nvi@talk.kik.com,68,1,0,0,0,0,0,0,0
69,rediselitev2_409@talk.kik.com,69,1,0,0,0,0,0,0,0
70,1100255737564_g@groups.kik.com,70,1,0,0,0,0,0,0,0
71,sons_of_damage_9r6@talk.kik.com,71,1,0,0,0,0,0,0,0
72,astonkutcher_et6@talk.kik.com,72,1,0,0,0,0,0,0,0
73,4545batman_3fw@talk.kik.com,73,1,0,0,0,0,0,0,0
74,scrappydoo_4w0@talk.kik.com,74,1,0,0,0,0,0,0,0
75,1100251906037_g@groups.kik.com,75,1,0,0,0,0,0,0,0
76,1100256118753_g@groups.kik.com,76,1,0,0,0,0,0,0,0
77,int.c_x1q@talk.kik.com,77,1,0,0,0,0,0,0,0
78,kumo_ws8@talk.kik.com,78,1,0,0,0,0,0,0,0
79,justanothergirl240_a4d@talk.kik.com,79,1,0,0,0,0,0,0,0
80,1100256142095_g@groups.kik.com,80,1,0,0,0,0,0,0,0
81,audrey__3kp@talk.kik.com,81,1,0,0,0,0,0,0,0
82,necrophilia_w1e@talk.kik.com,82,1,0,0,0,0,0,0,0
83,r9sfpyocwm_9mi@talk.kik.com,83,1,0,0,0,0,0,0,0
84,tvjnr6onlr_n1b@talk.kik.com,84,1,0,0,0,0,0,0,0
85,iylma3uiue_8v9@talk.kik.com,85,1,0,0,0,0,0,0,0
86,735dzlw5xh_3va@talk.kik.com,86,1,0,0,0,0,0,0,0
87,1100256092973_g@groups.kik.com,87,1,0,0,0,0,0,0,0
88,idkleosomthing_r0y@talk.kik.com,88,1,0,0,0,0,0,0,0
89,1100254730658_g@groups.kik.com,89,1,0,0,0,0,0,0,0
90,adam_project_jjg@talk.kik.com,90,1,0,0,0,0,0,0,0
91,deeskidiot1_cwe@talk.kik.com,91,1,0,0,0,0,0,0,0
92,garrett_emergency_oom@talk.kik.com,92,1,0,0,0,0,0,0,0
93,painkillers_zd3@talk.kik.com,93,1,0,0,0,0,0,0,0
94,blazeabla_vc5@talk.kik.com,94,1,0,0,0,0,0,0,0
95,1100254584569_g@groups.kik.com,95,1,0,0,0,0,0,0,0
96,fearthetank_qpp@talk.kik.com,96,1,0,0,0,0,0,0,0
97,skid_out_lru@talk.kik.com,97,1,0,0,0,0,0,0,0
98,1100251980631_g@groups.kik.com,98,1,0,0,0,0,0,0,0
99,casino_81jm_6xu@talk.kik.com,99,1,0,0,0,0,0,0,0
100,casino_nzp4_65v@talk.kik.com,100,1,0,0,0,0,0,0,0
101,casino_l81o_im6@talk.kik.com,101,1,0,0,0,0,0,0,0
102,obsoletepixel_iee@talk.kik.com,102,1,0,0,0,0,0,0,0
103,protoindoeuropean_wtn@talk.kik.com,103,1,0,0,0,0,0,0,0
104,1100256145356_g@groups.kik.com,104,1,0,0,0,0,0,0,0
105,1100256161804_g@groups.kik.com,105,1,0,0,0,0,0,0,0
106,1100253672386_g@groups.kik.com,106,1,0,0,0,0,0,0,0
107,xlr8_o1t@talk.kik.com,107,1,0,0,0,0,0,0,0
108,trump4pr3sid3nt_o8e@talk.kik.com,108,1,0,0,0,0,0,0,0
109,katerose33_xir@talk.kik.com,109,1,0,0,0,0,0,0,0
110,gnqp_z4i@talk.kik.com,110,1,0,0,0,0,0,0,0
111,test4ramp_m8j@talk.kik.com,111,1,0,0,0,0,0,0,0
112,121241_s0j@talk.kik.com,112,1,0,0,0,0,0,0,0
113,krystal_qt_agd@talk.kik.com,113,1,0,0,0,0,0,0,0
114,1100254270791_g@groups.kik.com,114,1,0,0,0,0,0,0,0
115,sin_63c@talk.kik.com,115,1,0,0,0,0,0,0,0
116,xannyluvsu2_pzw@talk.kik.com,116,1,0,0,0,0,0,0,0
117,exwhore_s28@talk.kik.com,117,1,0,0,0,0,0,0,0
118,1100243591211_g@groups.kik.com,118,1,0,0,0,0,0,0,0
119,1100255102966_g@groups.kik.com,119,1,0,0,0,0,0,0,0
120,devan2471_p5d@talk.kik.com,120,1,0,0,0,0,0,0,0
121,mike_hawk_lsp@talk.kik.com,121,1,0,0,0,0,0,0,0
122,____._._._._____ton@talk.kik.com,122,1,0,0,0,0,0,0,0
123,dj38_bg8@talk.kik.com,123,1,0,0,0,0,0,0,0
124,skid_17_p0j@talk.kik.com,124,1,0,0,0,0,0,0,0
125,bafx1433_t1l@talk.kik.com,125,1,0,0,0,0,0,0,0
126,etturetard_6uu@talk.kik.com,126,1,0,0,0,0,0,0,0
127,phobia_l52@talk.kik.com,127,1,0,0,0,0,0,0,0
128,1100253730409_g@groups.kik.com,128,1,0,0,0,0,0,0,0
129,theyluvjustice_r2x@talk.kik.com,129,1,0,0,0,0,0,0,0
130,brickdatass_95u@talk.kik.com,130,1,0,0,0,0,0,0,0
131,neocasino_yud@talk.kik.com,131,1,0,0,0,0,0,0,0
132,1100254786332_g@groups.kik.com,132,1,0,0,0,0,0,0,0
133,exsanguination_ch8@talk.kik.com,133,1,0,0,0,0,0,0,0
134,7vm_e2f@talk.kik.com,134,1,0,0,0,0,0,0,0
135,1099911689511_g@groups.kik.com,135,1,0,0,0,0,0,0,0
136,zlqb_wt5@talk.kik.com,136,1,0,0,0,0,0,0,0
137,atem1991_f0e@talk.kik.com,137,1,0,0,0,0,0,0,0
138,psychedelicclone_tvp@talk.kik.com,138,1,0,0,0,0,0,0,0
139,1100255008928_g@groups.kik.com,139,1,0,0,0,0,0,0,0
140,getlittest_x9r@talk.kik.com,140,1,0,0,0,0,0,0,0
141,justinrackz_n6f@talk.kik.com,141,1,0,0,0,0,0,0,0
142,asuramaruu1_bk5@talk.kik.com,142,1,0,0,0,0,0,0,0
143,1100254847384_g@groups.kik.com,143,1,0,0,0,0,0,0,0
144,eltaco_5yg@talk.kik.com,144,1,0,0,0,0,0,0,0
145,1100255381998_g@groups.kik.com,145,1,0,0,0,0,0,0,0
146,1100251402282_g@groups.kik.com,146,1,0,0,0,0,0,0,0
147,skid_out3_la9@talk.kik.com,147,1,0,0,0,0,0,0,0
148,skid_out1_ccu@talk.kik.com,148,1,0,0,0,0,0,0,0
149,1100246796695_g@groups.kik.com,149,1,0,0,0,0,0,0,0
150,1100252079142_g@groups.kik.com,150,1,0,0,0,0,0,0,0
151,1100249106617_g@groups.kik.com,151,1,0,0,0,0,0,0,0
152,1100256140746_g@groups.kik.com,152,1,0,0,0,0,0,0,0
153,1099909543229_g@groups.kik.com,153,1,0,0,0,0,0,0,0
154,secrectred_g1l@talk.kik.com,154,1,0,0,0,0,0,0,0
155,kittenlover2278_mns@talk.kik.com,155,1,0,0,0,0,0,0,0
156,1100244252425_g@groups.kik.com,156,1,0,0,0,0,0,0,0
157,1100243122778_g@groups.kik.com,157,1,0,0,0,0,0,0,0
158,merlin1943_066@talk.kik.com,158,1,0,0,0,0,0,0,0
159,1100255466679_g@groups.kik.com,159,1,0,0,0,0,0,0,0
160,1100239891239_g@groups.kik.com,160,1,0,0,0,0,0,0,0
161,1100250008391_g@groups.kik.com,161,1,0,0,0,0,0,0,0
162,1100249187861_g@groups.kik.com,162,1,0,0,0,0,0,0,0
163,1100256153714_g@groups.kik.com,163,1,0,0,0,0,0,0,0
164,skid_out7_iy3@talk.kik.com,164,1,0,0,0,0,0,0,0
165,skid_out6_xy1@talk.kik.com,165,1,0,0,0,0,0,0,0
166,skid_out5_o5u@talk.kik.com,166,1,0,0,0,0,0,0,0
167,skid_out4_vg6@talk.kik.com,167,1,0,0,0,0,0,0,0
168,1100253846491_g@groups.kik.com,168,1,0,0,0,0,0,0,0
169,wtfblazechill_pnj@talk.kik.com,169,1,0,0,0,0,0,0,0
170,1100197158371_g@groups.kik.com,170,1,0,0,0,0,0,0,0
171,1100254612374_g@groups.kik.com,1647413311856,1,0,0,0,0,0,0,0
172,1100254906805_g@groups.kik.com,172,1,0,0,0,0,0,0,0
173,kvanorski_3vt@talk.kik.com,173,1,0,0,0,0,0,0,0
174,1100256136749_g@groups.kik.com,1647413744321,1,0,0,0,0,0,0,0
175,1100255029151_g@groups.kik.com,0,0,0,0,0,0,0,0,0
176,1100254957658_g@groups.kik.com,0,0,0,0,0,0,0,0,0
177,1100254895190_g@groups.kik.com,0,0,0,0,0,0,0,0,0
178,1100253535683_g@groups.kik.com,0,0,0,0,0,0,0,0,0
179,1100255580659_g@groups.kik.com,0,0,0,0,0,0,0,0,0
180,1100255576183_g@groups.kik.com,0,0,0,0,0,0,0,0,0
181,1100255621217_g@groups.kik.com,0,0,0,0,0,0,0,0,0
182,1100255427053_g@groups.kik.com,0,0,0,0,0,0,0,0,0
183,1100252947332_g@groups.kik.com,0,0,0,0,0,0,0,0,0
184,1100255699136_g@groups.kik.com,0,0,0,0,0,0,0,0,0
